name,degrees,description,speciality,qualification,vinmec_site,price_local,price_foreigner
Nguyễn Thị Mỹ,Thạc sĩ,"ThS. BS Nguyễn Thị Mỹ đã có hơn 9 năm kinh nghiệm trong lĩnh vực Nội đa khoa.
Hiện tại, ThS. BS Nguyễn Thị Mỹ đang giữ chức vụ là bác sĩ Nội tổng quát tại khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng.","Nội tổng quát, Tiêm chủng vắc xin","Tốt nghiệp Thạc sĩ - Đại học Y Dược Huế
2014: Bác sĩ nội trú chuyên ngành Nội khoa - Đại học Y Dược Huế
2011: Bác sĩ đa khoa - Đại học Y Dược Huế",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Nguyễn Quốc Việt,Bác sĩ chuyên khoa II,"Bác sĩ chuyên khoa II Nguyễn Quốc Việt có nhiều năm kinh nghiệm trong lĩnh vực Tim mạch, đặc biệt là tim mạch can thiệp và nội tim mạch. Ông tốt nghiệp Y khoa tại trường Đại học Y khoa Huế, sau đó tiếp tục đào tạo định hướng Nội tim mạch tại Bệnh viện Trung ương Huế, sau đó học nội trú Nội khoa và hoàn thiện chuyên khoa II Nội tim mạch tại Huế. Trong quá trình công tác, bác sĩ Việt đã phục vụ tại Khoa Hồi sức cấp cứu Bệnh viện Đà Nẵng, sau đó chuyển về Khoa Nội Tim mạch của chốt bệnh viện này, và hiện nay là thành viên của Khoa Khám bệnh & Nội khoa tại Bệnh viện Đa khoa Vinmec Đà Nẵng.
Bác sĩ Việt thực hiện dịch vụ chẩn đoán và điều trị các bệnh lý tim mạch như bệnh van tim, bệnh cơ tim, rối loạn nhịp tim, bệnh mạch vành, chẩn đoán trước và theo dõi sau can thiệp mạch vành. Ông thực hiện siêu âm tim, hỗ trợ can thiệp tim mạch và phối hợp trong lập kế hoạch điều trị tim mạch nội khoa. Ông đã tham gia các công trình nghiên cứu chuyên ngành như rối loạn chức năng tâm trương ở người bệnh đái tháo đường, tổn thương động mạch chi dưới, biến đổi dấu ấn sinh học cơ tim trước và sau can thiệp, và khảo sát hoạt động can thiệp mạch vành tại bệnh viện Đà Nẵng trong nhiều năm.
Ông là thành viên của Hội Tim mạch học Việt Nam. Với thái độ tận tâm, kiến thức chuyên môn được củng cố qua nghiên cứu và nhiều năm điều trị thực tế, bác sĩ Nguyễn Quốc Việt luôn được đồng nghiệp và người bệnh tin cậy và đánh giá cao.","Tim mạch, Can thiệp tim mạch, Nội Tim mạch, Nội tổng quát","1993 - 1999: Học đại học Y khoa Huế, ngành Bác sĩ đa khoa
1999 - 2000: Học Bác sĩ chuyên khoa định hướng Nội tim mạch tại Bệnh viện Trung ương Huế
2000 - 2003: Học Bác sĩ nội trú bệnh viện, ngành Nội khoa
2007: Học lớp đào tạo bác sĩ Tim mạch can thiệp tại Viện Tim mạch Việt Nam, Bệnh viện Bạch Mai - Hà Nội
2012 - 2014: Học Bác sĩ chuyên khoa II - Nội tim mạch tại Bệnh viện Trung ương Huế",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Nguyễn Hùng,Bác sĩ chuyên khoa I,"BSCKI Nguyễn Hùng đã có nhiều năm kinh nghiệm trong lĩnh vực Nội tiết.
Ông nguyên là Trưởng khoa Nội thận - Nội tiết - Bệnh viện Đà Nẵng.
Hiện tại, BSCKI Nguyễn Hùng đang giữ chức vụ là bác sĩ điều trị Nội tiết tại khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng.",Nội tiết,"1981: Tốt nghiệp bác sĩ Y khoa - Đại học Y khoa Huế


1991: Tốt nghiệp chuyên khoa I Nội tổng quát - Đại học Y Dược TP Hồ Chí Minh


2001 - 2002: FFI ở Bệnh viện Westerner, Lyon, Pháp


Tham dự các hội thảo về chuyên ngành trong cũng như ngoài nước",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Nguyễn Huy Nhật,Thạc sĩ,"Thạc sĩ, Bác sĩ y khoa Nguyễn Huy Nhật có nhiều năm kinh nghiệm trong lĩnh vực hô hấp. Ông là thành viên chính thức của Hội Hô hấp Việt Nam. Hiện tại, ThS. BS Nguyễn Huy Nhật đang công tác tại Khoa Khám bệnh & Nội khoa, Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng.
Trước khi gia nhập Vinmec, bác sĩ đã làm việc tại Bệnh viện Trung ương Huế, Bệnh viện Đa khoa Hoàn Mỹ và Phòng Khám Đa khoa Phương Đông.
ThS. BS Nguyễn Huy Nhật chuyên khám và điều trị các bệnh lý về hô hấp, bao gồm viêm phổi bệnh viện, viêm phế quản cấp, ho ra máu, khó thở và các vấn đề liên quan đến sức khỏe phổi. Ông cũng tham gia tư vấn chuyên môn trong các bài viết về kiểm tra sức khỏe phổi và xử trí các triệu chứng hô hấp.",Nội Hô hấp,"1999 - 2005: Tốt nghiệp Bác sĩ Y Khoa - Đại học Y khoa Huế


2006 - 2009: Tốt nghiệp Bác sĩ nội trú Nội Khoa - Đại học Y khoa Huế


Chứng chỉ Đo chức năng Hô hấp, chứng chỉ Nội soi phế quản, chứng chỉ Siêu âm tổng quát",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Ngô Đắc Thanh Huy,Thạc sĩ,"Thạc sĩ, Bác sĩ Ngô Đắc Thanh Huy có nhiều năm kinh nghiệm trong lĩnh vực Tim mạch, đặc biệt trong chẩn đoán, điều trị bệnh lý tim mạch và hồi sức cấp cứu tim mạch. Bác sĩ cũng có chuyên môn sâu về siêu âm tim, chụp và can thiệp động mạch vành.
Về học vấn, bác sĩ Ngô Đắc Thanh Huy tốt nghiệp chương trình Thạc sĩ Tim mạch giai đoạn 2011 – 2013. Năm 2015, ông hoàn thành các chứng chỉ chuyên ngành về Tim mạch can thiệp và Siêu âm tim tại Đại học Y Dược Huế.
Hiện nay, bác sĩ Ngô Đắc Thanh Huy công tác tại Khoa Khám bệnh & Nội khoa – Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng, nơi bác sĩ được người bệnh tin tưởng nhờ chuyên môn vững vàng và sự tận tâm trong chăm sóc sức khỏe tim mạch.","Tim mạch, Can thiệp tim mạch","Năm 2015 - 2011: Bác sĩ đa khoa tại Đại học Y Dược Huế
Năm 2011 - 2013: Thạc sĩ nội chuyên khoa Tim mạch
Năm 2015: Chứng chỉ siêu âm tim tại Đại học Y Dược Huế
Năm 2015: Chứng chỉ tim mạch can thiệp tại Đại học Y Dược Huế",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Lê Thiện Quang,Bác sĩ chuyên khoa I,"BSCK I Lê Thiện Quang có nhiều năm kinh nghiệm trong lĩnh vực Nội ung bướu. BS Lê Thiện Quang từng công tác tại Bệnh viện C Đà Nẵng và Bệnh viện Ung bướu Đà Nẵng. Ông đã tham gia nhiều khóa đào tạo về xạ trị tại Mỹ, Estonia, Varian; là thành viên của Mạng lưới Chăm sóc giảm nhẹ Châu Á – Thái Bình Dương (APHN).
Hiện nay, BSCK I Lê Thiện Quang đang giữ chức vụ bác sĩ Nội ung bướu - Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng.","Ung bướu - Xạ trị, Nội tổng quát, Khám sức khỏe tổng quát","Tốt nghiệp Bác sĩ chuyên khoa định hướng Ung bướu - Đại học Y Hà Nội
Tốt nghiệp Chuyên khoa I Ung bướu - Đại học Y Dược TP. HCM
Đào tạo định hướng CK Ung thư - Trung tâm Ung thư Fred Hutchingson, WA, Hoa Kỳ
Đào tạo chuyên sâu xạ trị - Trung tâm đào tạo Varian, LasVegas, Hoa Kỳ
Đào tạo chuyên sâu xạ trị - Bệnh viện Bắc Estonia, Estonia
Giảng viên quốc gia chăm sóc giảm nhẹ - điều trị đau
Giảng viên Ascess to Care – Varian",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Vũ Văn Nguyên,,,,,Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Trần Văn Sáng,Bác sĩ chuyên khoa I,"Bác sĩ Chuyên khoa I Trần Văn Sáng có nhiều năm kinh nghiệm trong thăm khám và điều trị các bệnh lý Da liễu. Trong suốt quá trình công tác, bác sĩ đã trực tiếp thăm khám và điều trị cho nhiều trường hợp từ các bệnh da liễu phổ biến đến các bệnh lý da phức tạp, đồng thời tham gia các chương trình đào tạo và hội thảo chuyên ngành trong nước và quốc tế để nâng cao trình độ chuyên môn.
Hiện nay, bác sĩ đang công tác tại Khoa Khám bệnh & Nội khoa, Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng, tiếp tục mang đến dịch vụ chăm sóc da chuyên nghiệp và tận tâm cho người bệnh.","Da liễu, Nội tổng quát, Khám sức khỏe tổng quát",,Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Trần Lê Hương Nguyên,,,,,Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Nguyễn Văn Huân,,,,,Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Nguyễn Lê Hồng Vân,Bác sĩ chuyên khoa I,"Bác sĩ Chuyên khoa I Nguyễn Lê Hồng Vân có nhiều năm kinh nghiệm trong lĩnh vực Dinh dưỡng và hiện là Bác sĩ Dinh dưỡng tại Bệnh viện Đa khoa Vinmec Đà Nẵng.
Bác sĩ tốt nghiệp Bác sĩ đa khoa tại Đại học Y Dược Huế giai đoạn 2000 - 2006 và hoàn thành chương trình Bác sĩ Chuyên khoa I Dinh dưỡng tại Đại học Y Dược TP. Hồ Chí Minh từ năm 2019 đến 2021.
Trước khi gia nhập Vinmec, bác sĩ Hồng Vân đã công tác tại Bệnh viện Đa khoa tỉnh Quảng Ngãi (2006 - 2015), Bệnh viện Hoàn Mỹ Đà Nẵng (2015 - 2023).
Bác từng giữ vai trò Trưởng Phòng khám Nhi – Dinh dưỡng tại Dinh dưỡng Chuyên sâu Healthcare từ năm 2023 đến 2025.
Với chuyên môn sâu và kinh nghiệm dày dặn, bác sĩ luôn mang đến cho người bệnh các giải pháp dinh dưỡng khoa học, hiệu quả và phù hợp với từng cá nhân.",Dinh dưỡng,"2000 - 2006: Bác sĩ đa khoa - Đại Học Y Dược Huế 
2019 - 2021: Bác sĩ CKI Dinh dưỡng - Đại Học Y Dược TP Hồ Chí Minh",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Khám sức khỏe tổng quát người lớn,,,,,Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Lê Thanh Cẩm,Bác sĩ chuyên khoa II,"Bác sĩ Lê Thanh Cẩm tốt nghiệp Bác sĩ đa khoa và đạt trình độ Chuyên khoa II Nhi khoa. Ông đã tham gia nhiều khóa đào tạo, hội thảo chuyên sâu về cấp cứu nhi khoa, hồi sức sơ sinh, chăm sóc trẻ sơ sinh và trẻ nhỏ, nâng cao kỹ năng chuyên môn và cập nhật các phương pháp điều trị hiện đại.
Trong sự nghiệp nhiều năm, bác sĩ đã công tác tại nhiều cơ sở y tế uy tín, bao gồm Bệnh viện Đa khoa Đà Nẵng, Bệnh viện Sản – Nhi Đà Nẵng. Hiện nay là bác sĩ Nhi – Sơ sinh tại Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng, nơi ông trực tiếp thăm khám, chăm sóc và điều trị các bệnh lý nhi khoa, đặc biệt là trẻ sơ sinh và trẻ nhỏ.",Nhi,"Tốt nghiệp BSCK II Nhi - Hồi sức; CK I Nhi, Bác sĩ đa khoa - Đại học Y Dược HCM",Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Vũ Quốc Ánh,Thạc sĩ,"Thạc sĩ, Bác sĩ Vũ Quốc Ánh là bác sĩ Nhi – Sơ sinh với nhiều năm kinh nghiệm trong khám và điều trị các bệnh lý nhi khoa. Bác sĩ tốt nghiệp Bác sĩ đa khoa tại Đại học Y Dược Huế, sau đó hoàn thành chương trình Thạc sĩ Nhi khoa và tham gia nhiều khóa đào tạo chuyên sâu về Nhi – Sơ sinh.
Trước đây, bác sĩ từng công tác tại Bệnh viện Trung Ương Huế và Bệnh viện Sản – Nhi Đà Nẵng. Hiện nay, bác sĩ Vũ Quốc Ánh đang công tác tại Khoa Nhi – Sơ sinh, Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng, nơi bác sĩ được người bệnh đánh giá cao nhờ chuyên môn vững vàng, thái độ thân thiện và sự tận tâm trong chăm sóc trẻ em.",Nhi,Tốt nghiệp Bác sĩ đa khoa - Đại học Y Dược Huế,Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Trương Thành Tâm,Thạc sĩ,"ThS. BS Trương Thành Tâm có nhiều năm kinh nghiệm trong lĩnh vực Nhi khoa. BS Trương Thành Tâm từng công tác tại Bệnh viện Đa khoa Đà Nẵng và Bệnh viện Phụ sản - Nhi Đà Nẵng. Ông cũng đã tham gia nhiều hội thảo khoa học, các khóa tập huấn đào tạo về nhi khoa trong nước và quốc tế.
Hiện nay, ThS. BS Trương Thành Tâm là bác sĩ Nhi khoa - Khoa Nhi - Sơ sinh tại Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng.","Nhi, Nhi Huyết học - Truyền máu","2005: Tốt nghiệp Bác sĩ đa khoa - Đại học Y Dược Huế
2007: Tốt nghiệp Thạc sĩ Nhi - Đại học Y Dược TP. HCM
Được đào tạo chuyên sâu về lĩnh vực Huyết học - Ung thư nhi tại Việt Nam do tổ chức Lund - Thụy Điển đào tạo
Tham gia nhiều hội thảo khoa học về Nhi khoa trong nước và quốc tế
Tham gia nhiều khóa tập huấn đào tạo ngắn hạn và được cấp chứng nhận là “Giảng viên nòng cốt nhi khoa”, do Đại học Y Dược Huế cấp
Chứng chỉ: Hồi sức nhi, Huyết học, Ung thư nhi",Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Nguyễn Thị Mỹ Linh,Bác sĩ chuyên khoa I,"BSCKI Nguyễn Thị Mỹ Linh là bác sĩ Nhi khoa với nhiều năm kinh nghiệm trong thăm khám, chăm sóc và điều trị trẻ sơ sinh và trẻ nhỏ. Bác sĩ hiện đang công tác tại Khoa Nhi - Sơ sinh, Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng, được người bệnh đánh giá cao nhờ chuyên môn vững vàng, tận tâm và thái độ nhẹ nhàng, thân thiện.
Bác sĩ tốt nghiệp Bác sĩ đa khoa và hoàn thành các chứng chỉ chuyên sâu về cấp cứu nhi khoa, chăm sóc trẻ sơ sinh và hồi sức nâng cao trẻ sơ sinh tại Bệnh viện Trung Ương Huế và Bệnh viện Nhi Đồng 1, TP. Hồ Chí Minh.
Trong nhiều năm công tác, bác sĩ đã làm việc tại nhiều cơ sở y tế uy tín, bao gồm Bệnh viện Đa khoa Đà Nẵng, Bệnh viện Sản - Nhi Đà Nẵng, và hiện nay là bác sĩ Nhi - Sơ sinh tại Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng, nơi bác sĩ trực tiếp tham gia thăm khám, chăm sóc và điều trị các bệnh lý nhi khoa, đặc biệt là trẻ sơ sinh và trẻ nhỏ.","Nhi, Sơ sinh","2002: Bác sĩ Y khoa - Đại học Y Huế
2010: Bác sĩ Chuyên khoa I Nhi - Đại học Y Huế
Các chứng nhận:
2011: Chứng nhận hoàn thành lớp Xử trí sơ sinh chuyên sâu dành cho bác sĩ tại Bệnh viện Nhi Đồng I
2009: Chứng nhận lớp Chăm sóc và điều trị bệnh lý sơ sinh - Bệnh viện Trung Ương Huế
2008: Chứng nhận Hồi sức cấp cứu Nhi - Bệnh viện Trung Ương Huế",Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Phan Thị Cẩm Vân,Thạc sĩ,"ThS. BS Phan Thị Cẩm Vân có nhiều năm kinh nghiệm trong lĩnh vực Nhi - Sơ sinh. BS Phan Thị Cẩm Vân từng làm việc tại Bệnh viện Trung Ương Huế và Bệnh viện Đại học Y Dược Huế. Bà cũng tham gia nhiều khóa đào tạo thường niên về nhi khoa.
Hiện nay, ThS. BS Phan Thị Cẩm Vân là bác sĩ Sơ sinh - Khoa Nhi - Sơ sinh tại Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng.","Nhi, Sơ sinh","2005 - 2011: Bác sĩ đa khoa - Đại học Y Dược Huế


2011 - 2014: ThS. BSNT Nhi khoa - Đại học Y Dược Huế  


Tham gia nhiều khóa đào tạo ngắn hạn, liên tục về đào tạo nhi khoa thường niên",Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Phan Ngọc Hải,Thạc sĩ,"Thạc sĩ, Bác sĩ Phan Ngọc Hải là bác sĩ có nhiều năm kinh nghiệm trong lĩnh vực Nhi khoa và Nhi sơ sinh. Bác sĩ Hải tốt nghiệp Bác sĩ đa khoa tại Đại học Y Dược Huế năm 2012, tiếp tục hoàn thành chương trình Bác sĩ nội trú Nhi khoa vào năm 2015 và nhận bằng Thạc sĩ Nhi khoa cùng năm.
Trong hơn một thập kỷ công tác, bác sĩ đã làm việc tại các bệnh viện lớn như Bệnh viện Phụ sản – Nhi Đà Nẵng và Bệnh viện Hoàn Mỹ Đà Nẵng, tích lũy kinh nghiệm quý báu trong khám, điều trị và chăm sóc trẻ sơ sinh, cũng như xử lý các tình huống cấp cứu và hồi sức nhi.
Hiện nay, bác sĩ Hải đang công tác tại Khoa Nhi – Sơ sinh, Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng, nơi anh tiếp tục thực hiện các dịch vụ khám và điều trị bệnh lý nhi khoa tổng quát, chăm sóc trẻ sơ sinh và thực hiện hồi sức, cấp cứu cho các bệnh nhi nặng.
Bên cạnh công tác lâm sàng, bác sĩ Hải còn tham gia đào tạo và hướng dẫn thực hành lâm sàng cho sinh viên và các bác sĩ trẻ, đồng thời đóng góp các nghiên cứu và báo cáo khoa học trong lĩnh vực Nhi – Sơ sinh.
Những nỗ lực và tận tâm trong công việc của bác sĩ Hải đã được nhiều bệnh nhân và đồng nghiệp đánh giá cao, ghi nhận qua các phản hồi tích cực về thái độ, chuyên môn và kỹ năng giao tiếp.","Nhi, Sơ sinh","2012: Tốt nghiệp Bác sĩ đa khoa tại Đại học Y Dược Huế


2015: Tốt nghiệp Bác sĩ nội trú Nhi khoa tại Đại học Y Dược Huế


2015: Tốt nghiệp Thạc sĩ Nhi khoa tại Đại học Y Dược Huế",Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Nguyễn Minh Tuấn,Thạc sĩ,"Bác sĩ chuyên khoa I Nguyễn Minh Tuấn hiện đang công tác tại Khoa Ngoại tổng hợp – Liên chuyên khoa, Bệnh viện Đa khoa Quốc tế Vinmec Nha Trang. Với nhiều năm kinh nghiệm trong lĩnh vực tai – mũi – họng và phẫu thuật đầu cổ, bác sĩ Tuấn đã từng thực hành tại các bệnh viện lớn ở TP. Hồ Chí Minh như Bệnh viện Đại học Y Dược, Chợ Rẫy, Bệnh viện Tai Mũi Họng và Nhân Dân Gia Định, cũng như Bệnh viện Nhi Đồng 1.
Ông tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Dược TP. Hồ Chí Minh năm 2014 và hoàn thành chương trình nội trú Tai Mũi Họng – Phẫu thuật Đầu cổ vào năm 2018 tại cùng trường. Bác sĩ đã tiếp tục bồi dưỡng kỹ thuật cao trong tai mũi họng, hoàn thiện phẫu thuật ung thư đầu mặt cổ và nội soi tuyến giáp qua đường miệng trong các khóa đào tạo tại các trung tâm y học trong nước.
Trong thực hành, bác sĩ Tuấn thực hiện các dịch vụ khám và điều trị bệnh lý amidan, họng – thanh quản, mũi xoang, tai ở người lớn và trẻ em, phẫu thuật cắt amidan, nạo VA công nghệ Plasma, nội soi mũi xoang, chỉnh vách ngăn, vá nhĩ nội soi, phẫu thuật u vùng đầu mặt cổ và các bệnh lý tuyến giáp. Ông đã công bố các công trình nghiên cứu như “Đặc điểm di căn hạch cổ của ung thư lưỡi” đăng trên Tạp chí Y học TP. Hồ Chí Minh.
Bác sĩ Tuấn là thành viên của Hội Tai – Mũi – Họng Việt Nam, Hội Tai – Mũi – Họng TP. Hồ Chí Minh và Hiệp hội Phẫu thuật Đầu cổ Hoa Kỳ. Nhờ sự tận tâm trong chăm sóc bệnh nhân và hoạt động nghiên cứu, ông đã nhận được nhiều đánh giá tốt từ người bệnh và giấy khen từ cơ sở y tế.","Nhi, Sơ sinh","Tốt nghiệp Thạc sĩ Nhi khoa - Đại học  Y Hà Nội


Tốt nghiệp Bác sĩ đa Khoa – Đại học Y Huế


Đào tạo 1 năm về Nhi khoa tại Pháp",Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Nguyễn Công Cảnh,Thạc sĩ,"Thạc sĩ, Bác sĩ Nguyễn Công Cảnh có nhiều năm kinh nghiệm trong lĩnh vực Nhi khoa, đặc biệt trong công tác điều trị, cấp cứu và hồi sức trẻ em. Ông từng giữ chức Trưởng khoa Y học nhiệt đới nhi - Cấp cứu - Hồi sức tích cực và Bệnh lý tại Bệnh viện Sản - Nhi Đà Nẵng và hiện là Trưởng khoa Nhi - Sơ sinh tại Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng. Trong sự nghiệp của mình, bác sĩ Cảnh đã tham gia nhiều khóa đào tạo chuyên sâu trong và ngoài nước về PALS cấp cứu nhi khoa, truyền nhiễm nhi, siêu lọc máu liên tục trong các ca nặng của tay chân miệng và sốt xuất huyết, nhiễm trùng huyết và đã được công nhận là giảng viên nòng cốt đào tạo chứng chỉ PALS cho khu vực miền Trung và Tây Nguyên.
Dịch vụ ông cung cấp bao gồm điều trị các bệnh lý nhi - sơ sinh như bệnh hô hấp, bệnh truyền nhiễm trẻ em, dị ứng, viêm đường tiêu hóa, bệnh lý tim mạch nội khoa trẻ em, tay chân miệng, sốt xuất huyết và chăm sóc hồi sức cho trẻ nặng. Bác sĩ Cảnh cũng thực hiện công tác tư vấn dinh dưỡng, tiêm chủng và theo dõi các dị ứng thuốc. Ông là tác giả hoặc đồng tác giả của nhiều nghiên cứu và bài báo khoa học về đề tài như bilan lipid ở bệnh nhân tăng huyết áp, kháng sinh đường ruột trẻ em, dịch sởi, yếu tố nguy cơ bệnh sốt xuất huyết và tay chân miệng.
Ông là thành viên của các hiệp hội như Hội Nhi khoa Việt Nam, Hội Truyền nhiễm Việt Nam và Hội Hồi sức cấp cứu và chống độc Việt Nam. Với thái độ tận tâm, kinh nghiệm lâm sàng dày dặn và tinh thần học hỏi không ngừng, bác sĩ Nguyễn Công Cảnh nhận được sự tin tưởng từ đồng nghiệp và người bệnh, là lựa chọn đáng tin cậy trong chăm sóc sức khỏe nhi khoa ở khu vực miền Trung.","Nhi, Sơ sinh","Tham gia nhiều khóa đào tạo ngắn hạn, hội thảo trong nước và quốc tế về nhiều lĩnh vực phương pháp nghiên cứu lâm sàng, PALS cấp cứu nhi khoa nâng cao, truyền nhiễm nhi, siêu lọc máu liên tục trong bệnh tay chân miệng, sốt xuất huyết, nhiễm trùng huyết


Được cấp chứng nhận “Giảng viên nòng cốt trong đội đào tạo chứng chỉ PALS cho khu vực miền Trung và Tây Nguyên"" - chứng nhận do Viện Nhi Trung Ương và trường Đại học Y Dược Thành phố Hồ chí Minh cấp",Bệnh viện ĐKQT Vinmec Đà Nẵng,,
Nguyễn Thái Hưng,Bác sĩ chuyên khoa II,"BSCKII Nguyễn Thái Hưng đã có nhiều năm kinh nghiệm trong lĩnh vực Mắt. Hiện tại, BSCKII Nguyễn Thái Hưng đang giữ chức vụ là bác sĩ Mắt - Khoa khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng.",Mắt,"Tốt nghiệp Bác sĩ chuyên khoa I, chuyên khoa II về nhãn khoa - Đại học Y Dược Huế


Tốt nghiệp Bác sĩ đa khoa - Đại học Y Dược Huế",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Lê Quang Minh,"Thạc sĩ, Bác sĩ chuyên khoa II","ThS. BSCKII Lê Quang Minh đã tham gia nhiều khóa đào tạo chuyên sâu về chấn thương chỉnh hình do Hiệp hội Chấn thương chỉnh hình (AO Foundation) Mỹ, Úc, Châu Âu giảng dạy và giành được nhiều giải thưởng tại các Hội nghị Khoa học và công nghệ tuổi trẻ các trường Đại học Y Dược Việt Nam.
Ông cũng là thành viên của Hội Chấn thương chỉnh hình Việt Nam, Hội Chấn thương chỉnh hình TP. Hồ Chí Minh, Hội Phẫu thuật nội soi cơ xương khớp Thành phố Hồ Chí Minh.",Ngoại chấn thương chỉnh hình,"2006: Tốt nghiệp Bác sĩ đa khoa - Đại học Y Dược Huế
2010: Bác sĩ nội trú Ngoại khoa - Đại học Y Dược Huế
2010: Thạc sĩ Y khoa - Đại học Y Dược Huế",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Lê Tuấn Vũ,Bác sĩ chuyên khoa I,"Bác sĩ Chuyên khoa I Lê Tuấn Vũ là bác sĩ Ngoại Chấn thương Chỉnh hình với nhiều năm kinh nghiệm trong điều trị các bệnh lý cơ xương khớp và chấn thương.
Bác sĩ được đào tạo chính quy tại Đại học Y Dược Huế và hoàn thành chương trình Bác sĩ Chuyên khoa I chuyên ngành Chấn thương Chỉnh hình tại Đại học Y Dược TP. Hồ Chí Minh.
Bên cạnh đó, bác sĩ còn tham gia các khóa đào tạo chuyên sâu về tiêm khớp, tiêm mô quanh gân và phẫu thuật nội soi khớp, giúp nâng cao năng lực điều trị các bệnh lý khớp hiện đại, ít xâm lấn.
Trước khi công tác tại Bệnh viện Đa khoa Vinmec Đà Nẵng, bác sĩ đã tích lũy kinh nghiệm thực tiễn tại các bệnh viện lớn, mang đến cho người bệnh phương pháp điều trị hiệu quả, an toàn và phù hợp với từng tình trạng bệnh lý.",Ngoại chấn thương chỉnh hình,"2012 - 2018: Bác sĩ Đa khoa - Đại học Y Dược Huế
2021 - 2023: Bác sĩ Chuyên khoa I Chấn thương Chỉnh hình - Đại học Y Dược TP. Hồ Chí Minh
2022: Chứng chỉ Tiêm khớp, Tiêm mô quanh gân - Đại học Y Dược TP. Hồ Chí Minh
2023: Chứng chỉ Phẫu thuật Nội soi khớp - Đại học Y Dược TP. Hồ Chí Minh",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
Nguyễn Xuân Đại,Bác sĩ chuyên khoa I,"Bác sĩ Chuyên khoa I Nguyễn Xuân Đại là bác sĩ Ngoại Chấn thương Chỉnh hình với nhiều năm kinh nghiệm trong chẩn đoán, cấp cứu và điều trị các bệnh lý cơ xương khớp.
Bác sĩ có thế mạnh trong phẫu thuật chỉnh hình cơ bản, phẫu thuật nội soi điều trị các bệnh lý khớp gối, khớp vai, thay khớp háng - khớp gối và vi phẫu chuyển vạt da.
Được đào tạo bài bản tại Trường Đại học Y Dược Huế và Trường Đại học Y Dược TP. Hồ Chí Minh, đồng thời tham gia nhiều khóa đào tạo chuyên sâu về nội soi khớp, thay khớp và tiêm khớp, bác sĩ Đại đã tích lũy kinh nghiệm thực tiễn tại các bệnh viện lớn trước khi công tác tại Bệnh viện Đa khoa Vinmec Đà Nẵng.",Ngoại chấn thương chỉnh hình,"2012 - 2018: Bác sĩ Đa khoa - Trường Đại học Y Dược Huế
2020 - 2022: Bác sĩ Chuyên khoa I Chấn thương Chỉnh hình - Trường Đại học Y Dược TP. Hồ Chí Minh
06/2022 - 29/07/2022: Khóa đào tạo Phẫu thuật Nội soi khớp - Đại học Y Dược TP. Hồ Chí Minh
19/09/2022 - 25/11/2022: Khóa đào tạo Thay khớp háng - Đại học Y Dược TP. Hồ Chí Minh
21/03/2022 - 25/03/2022: Khóa đào tạo Tiêm gân, tiêm khớp - Đại học Y Dược TP. Hồ Chí Minh",Bệnh viện ĐKQT Vinmec Đà Nẵng,150000,690000
